,peak width,peak height,z-normalized peak width,z-normalized peak height
0,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
1,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
2,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
3,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
4,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
5,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
6,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
7,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
8,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
9,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
10,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
11,17.0,0.011000000000000301,0.00022174247167578483,0.7080812587348799
12,8.0,0.012000000000000333,-1.4878089918565365,0.8384297057759749
13,8.0,0.012000000000000333,-1.4878089918565365,0.8384297057759749
14,8.0,0.012000000000000333,-1.4878089918565365,0.8384297057759749
15,7.0,0.010000000000000198,-1.6531457401152265,0.5777328116937755
16,7.0,0.010000000000000198,-1.6531457401152265,0.5777328116937755
17,13.0,0.00900000000000097,-0.6611252505630851,0.4473843646527855
18,13.0,0.00900000000000097,-0.6611252505630851,0.4473843646527855
19,15.0,0.015000000000002242,-0.3304517540457047,1.2294750468994962
20,15.0,0.015000000000002242,-0.3304517540457047,1.2294750468994962
21,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
22,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
23,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
24,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
25,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
26,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
27,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
28,21.0,0.01100000000000109,0.6615687355064368,0.7080812587349827
29,19.0,0.005000000000000525,0.33089523898905626,-0.07400942351163595
30,19.0,0.005000000000000525,0.33089523898905626,-0.07400942351163595
31,19.0,0.005000000000000525,0.33089523898905626,-0.07400942351163595
32,19.0,0.005000000000000525,0.33089523898905626,-0.07400942351163595
33,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
34,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
35,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
36,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
37,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
38,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
39,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
40,22.0,0.003999999999999997,0.826905483765127,-0.20435787055279564
41,20.0,0.002999999999999895,0.49623198724774653,-0.3347063175938997
42,20.0,0.002999999999999895,0.49623198724774653,-0.3347063175938997
43,20.0,0.002999999999999895,0.49623198724774653,-0.3347063175938997
44,20.0,0.002999999999999895,0.49623198724774653,-0.3347063175938997
45,20.0,0.002999999999999895,0.49623198724774653,-0.3347063175938997
46,20.0,0.002999999999999895,0.49623198724774653,-0.3347063175938997
47,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
48,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
49,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
50,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
51,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
52,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
53,15.0,0.0029999999999999923,-0.3304517540457047,-0.334706317593887
54,10.0,0.0010000000000006705,-1.157135495339156,-0.5954032116759803
55,10.0,0.0010000000000006705,-1.157135495339156,-0.5954032116759803
56,10.0,0.0010000000000006705,-1.157135495339156,-0.5954032116759803
57,10.0,0.0010000000000006705,-1.157135495339156,-0.5954032116759803
58,10.0,0.0010000000000006705,-1.157135495339156,-0.5954032116759803
59,10.0,0.0010000000000006705,-1.157135495339156,-0.5954032116759803
60,7.0,0.0010000000000006705,-1.6531457401152265,-0.5954032116759803
61,8.0,0.0010000000000001692,-1.4878089918565365,-0.5954032116760456
62,8.0,0.0010000000000001692,-1.4878089918565365,-0.5954032116760456
63,7.0,3.9898639947466563e-16,-1.6531457401152265,-0.7257516587171066
64,7.0,3.9898639947466563e-16,-1.6531457401152265,-0.7257516587171066
65,7.0,3.9898639947466563e-16,-1.6531457401152265,-0.7257516587171066
66,8.0,3.9898639947466563e-16,-1.4878089918565365,-0.7257516587171066
67,8.0,3.9898639947466563e-16,-1.4878089918565365,-0.7257516587171066
68,13.0,0.0010000000000003496,-0.6611252505630851,-0.5954032116760222
69,13.0,0.002000000000000427,-0.6611252505630851,-0.46505476463492124
70,13.0,0.002000000000000427,-0.6611252505630851,-0.46505476463492124
71,13.0,0.002000000000000427,-0.6611252505630851,-0.46505476463492124
72,13.0,0.002000000000000427,-0.6611252505630851,-0.46505476463492124
73,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
74,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
75,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
76,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
77,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
78,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
79,10.0,1.0104764247564901e-15,-1.157135495339156,-0.7257516587170268
