name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-1.529210e+00;1.582894e+01;-3.976066e+00;-8.782487e+00;2.842056e+00;-7.830295e+00;2.306931e+00;-1.385701e+01;-8.616985e+00;-8.897671e+00;-8.051886e+00;-1.115001e+01;1.164066e+02;-6.906523e-01;-1.183744e+00;1.046599e+00;2.868635e-01;1.206972e+00;3.651486e+00;-9.101250e-01;-5.902437e-01;6.485663e-02;3.509690e+00;2.713028e+00;2.721399e+00;3.985108e-01;-4.027932e-02;-2.141651e-01;-4.470578e-01;2.177168e-01;-3.546754e-01;-7.667006e-01;-1.532454e-01;4.679245e-01;4.560545e-01;-1.254512e-01;-1.469772e-02;-3.452919e-01;-1.230458e-01
'unknown';0.010000;-2.153981e+00;1.486813e+01;1.215247e+00;-8.512339e+00;1.430335e+00;6.616909e+00;5.398089e+00;-1.058499e+01;-8.888526e+00;1.065724e+00;-7.603971e+00;-7.961845e+00;1.174720e+02;-1.270066e+00;-2.675686e+00;-4.176340e-01;3.694548e-02;3.997322e-01;1.740589e+00;-2.361000e+00;5.479501e-01;1.499793e+00;4.782496e+00;3.432503e+00;2.145745e+00;1.426605e-01;1.595388e-01;5.578722e-02;-7.255631e-01;2.205114e-01;-5.422717e-01;-1.436821e+00;-1.611708e-02;2.591175e-01;-3.953658e-01;-1.324585e+00;-5.947207e-01;-4.936177e-01;-1.701580e-01
'unknown';0.020000;-4.670086e+00;1.039062e+01;-1.338726e+00;-7.483243e+00;9.582777e+00;3.203535e+00;-3.789273e+00;-1.844423e+01;-8.156932e+00;3.669081e+00;5.289298e+00;8.628940e-01;1.178664e+02;-6.023418e-01;-1.508598e+00;-4.565733e-01;1.500407e+00;-1.627846e-01;7.734318e-01;-9.509142e-01;1.180282e+00;1.627661e+00;2.246031e+00;2.279802e+00;1.282766e+00;-8.879318e-02;3.820633e-01;5.332013e-01;-5.698119e-01;4.837476e-02;-8.944379e-01;-1.459370e+00;5.985731e-01;1.440280e-01;-1.195593e+00;-2.178700e+00;-1.010785e+00;-6.998416e-01;-1.615738e-01
'unknown';0.030000;-6.309104e+00;5.169663e+00;-7.382905e+00;-9.247381e+00;1.470356e+00;-4.644263e+00;-6.449967e+00;-8.823641e+00;-1.348049e+00;8.731439e+00;2.440037e+00;-6.427743e+00;1.163899e+02;6.288652e-02;-7.423806e-01;-1.829630e+00;7.826489e-01;-8.195079e-01;-2.093589e+00;-9.703158e-01;-1.799189e-01;-2.693375e+00;-2.481407e+00;-4.396234e-02;9.726265e-01;-2.086273e-01;3.753102e-01;8.730961e-01;-3.045881e-03;-3.322829e-01;-7.221962e-01;-9.785827e-01;5.462095e-01;-4.684033e-01;-1.868805e+00;-2.793049e+00;-9.337968e-01;-4.316540e-01;-1.323003e-01
'unknown';0.040000;-2.463357e+00;1.313518e+01;-1.959856e+00;-9.129318e-01;2.008122e+00;1.667449e+00;3.476389e+00;-8.836269e+00;-4.248918e+00;-1.500375e+00;-1.674880e+00;-5.503234e+00;1.165036e+02;5.531880e-01;5.156101e-01;-1.096462e+00;1.558856e-01;-2.655597e+00;-1.728274e+00;1.387398e+00;4.938309e-01;-3.816523e+00;-3.751858e+00;-6.026645e-01;-1.912503e-01;-2.337143e-01;-7.054545e-05;3.364463e-01;1.919501e-01;-6.804737e-01;-8.847396e-02;-2.425408e-01;2.141289e-01;1.522488e-01;-7.378142e-01;-1.667604e+00;-1.126342e-01;-5.939385e-01;-1.384094e-01
'unknown';0.050000;-2.942913e+00;9.783949e+00;-7.622338e+00;-7.884250e+00;1.120123e+00;-3.082994e+00;-3.086320e+00;-1.628856e+01;-2.430941e+01;-8.756581e+00;-4.341694e+00;8.435182e-02;1.171102e+02;2.871950e-02;6.776899e-01;-1.129189e-01;-9.522084e-01;-1.964843e+00;-1.901471e+00;-7.991086e-01;-1.450841e+00;-5.122139e+00;-6.183804e+00;2.047525e-01;7.244835e-01;-4.463806e-01;-1.792315e-01;9.494527e-02;3.221068e-01;-2.792327e-01;6.841324e-01;9.095465e-01;2.939853e-01;1.084693e+00;1.462846e+00;-1.178989e-01;7.154049e-01;-3.798345e-01;-1.303558e-01
'unknown';0.060000;-3.587242e+00;1.066153e+01;-6.701322e+00;-7.385381e+00;-3.520091e+00;-6.218471e+00;1.465895e+00;-1.224262e+01;-1.575887e+01;-6.346202e+00;5.666842e+00;-3.349405e+00;1.163377e+02;-5.856110e-01;-5.364016e-01;-3.551785e-01;-1.034533e+00;-3.248696e-02;-5.353311e-01;3.412662e-02;2.576987e+00;-8.470280e-01;-4.240790e+00;1.592273e+00;-1.562855e+00;-6.619636e-01;-1.317175e-01;-2.411154e-01;-2.852607e-01;6.498355e-02;1.436358e+00;1.539046e+00;-8.257438e-02;4.077724e-01;2.132562e+00;1.203765e+00;3.730024e-01;4.113978e-01;-6.408676e-02
'unknown';0.070000;-5.603565e+00;9.794939e+00;-5.576766e+00;-1.077220e+01;-5.589752e+00;-1.020866e+01;-9.440264e+00;-1.437467e+01;-2.120377e+01;-1.976467e+01;-2.070604e-01;-3.882240e+00;1.142410e+02;-2.638717e-01;2.583516e-01;-5.897378e-01;-1.830511e-02;1.289599e+00;1.857671e+00;1.176246e+00;4.201970e+00;3.136107e+00;-2.826436e+00;2.435593e+00;-2.407438e-01;-6.462814e-01;1.259277e-01;-3.175804e-01;-8.186091e-01;7.766785e-02;7.061135e-01;1.337556e+00;2.510792e-01;-9.014416e-02;2.292244e+00;2.662852e+00;-4.166117e-01;3.870279e-01;1.007848e-01
'unknown';0.080000;-4.061087e+00;1.044768e+01;-4.758534e+00;-4.641623e+00;5.200625e+00;2.553627e+00;6.823994e+00;3.091720e+00;-1.003688e+01;-1.720028e+01;4.219171e+00;-1.133421e+01;1.146284e+02;4.089589e-02;-4.802979e-01;-2.284357e+00;1.385174e-02;2.898970e+00;4.087384e+00;-1.315117e-02;-2.937130e-01;2.717166e+00;5.882832e-01;1.469271e-01;2.348352e+00;-4.541977e-01;1.393674e-01;-7.729566e-02;-6.839988e-01;3.570736e-01;-3.958182e-01;2.292116e-01;-1.923324e-01;-1.051067e+00;7.662839e-01;2.471407e+00;-1.359795e+00;1.652958e-01;2.012028e-01
'unknown';0.090000;-4.025349e+00;1.118263e+01;-1.154242e+01;-9.347654e+00;3.207761e+00;1.819314e+00;1.158628e-01;-2.945880e+00;-1.148987e+01;-1.746172e+01;8.560107e+00;2.873037e+00;1.147335e+02;3.451044e-01;-9.382639e-01;-3.241376e+00;-1.088062e+00;9.999557e-02;2.474953e+00;4.799261e-01;-4.662119e-01;4.556987e+00;4.715920e+00;-1.155633e+00;7.040192e-01;-4.633942e-02;-7.486083e-02;-1.523047e-01;1.762031e-01;5.915110e-01;-9.088480e-01;-8.350264e-01;-2.677161e-01;-2.102148e-01;-4.050421e-01;1.302641e+00;-1.641661e+00;-8.888538e-01;1.809912e-01
