name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-6.044703e+00;9.736465e+00;-2.879782e+00;-4.220726e+00;-1.118380e+01;-8.619519e+00;5.816478e+00;-8.006419e+00;-9.654348e+00;-1.098045e+01;3.747280e-01;7.029632e-01;1.147507e+02;9.978089e-01;2.227472e-01;-2.502781e+00;-2.137142e+00;4.482792e+00;3.107482e+00;4.382947e-01;1.980534e-01;2.142195e+00;1.868033e-02;-3.211774e+00;-3.405041e+00;8.340530e-02;-2.476839e-01;2.240061e-01;4.987763e-01;4.974972e-01;-8.344806e-01;-6.076400e-01;-9.513138e-02;-5.771132e-01;-7.009193e-01;-1.861302e-01;7.210053e-01;5.599548e-01;-4.816353e-02
'unknown';0.010000;-3.218669e+00;9.272688e+00;-5.236834e+00;-1.017427e+01;1.386316e+00;2.957841e-01;3.647764e+00;-4.221999e+00;2.753970e+00;-5.741571e+00;-8.402447e+00;-9.022428e+00;1.154538e+02;3.120197e-01;1.111329e+00;-1.544615e+00;-1.529673e+00;2.624088e+00;1.162293e+00;-7.232443e-01;-1.947709e+00;6.076030e-01;-1.469813e+00;-2.604932e+00;-2.679930e+00;-8.685303e-03;-3.664518e-01;1.055081e-01;9.713394e-01;1.200491e+00;-1.487442e+00;-9.436054e-01;-1.484821e-01;-8.558426e-01;-1.533599e+00;7.257091e-01;1.903547e+00;1.077349e+00;-5.810394e-02
'unknown';0.020000;-2.468675e+00;1.108209e+01;-1.421516e+01;-1.192967e+01;4.945099e+00;2.460240e+00;9.092309e+00;-8.908362e+00;-5.147531e+00;-1.350649e+01;-1.129556e+01;-1.145955e+01;1.148162e+02;1.022839e-01;8.984869e-01;-4.879822e-01;4.660930e-02;1.239740e+00;1.041877e+00;5.434073e-01;-1.614631e+00;-5.951051e-01;-1.677240e-01;8.983111e-02;-9.678232e-01;-1.113670e-01;-1.645490e-01;-1.058811e-01;1.262006e+00;1.369318e+00;-1.494490e+00;-8.035930e-01;-2.595320e-01;-2.684161e-01;-1.325035e+00;9.121197e-01;2.010605e+00;1.064951e+00;-3.910042e-04
'unknown';0.030000;-6.272618e+00;1.462030e+01;-4.935166e+00;-8.014621e+00;-6.127813e+00;-8.347933e+00;5.623415e-01;-1.729399e+01;-8.869742e+00;-1.706650e+01;-6.814789e+00;-6.615433e+00;1.146745e+02;-3.866878e-01;4.124180e-01;1.346517e+00;2.773438e+00;-1.332891e+00;-5.777422e-01;-3.566720e-01;-3.174817e+00;-4.157147e+00;3.740428e+00;4.655157e+00;7.630949e-01;-1.097282e-01;1.365085e-01;-4.659633e-01;6.835365e-01;1.282099e+00;-3.143079e-01;1.945465e-01;9.684751e-02;1.007787e+00;-1.879216e-01;7.320906e-01;1.032727e+00;5.229635e-02;5.602394e-02
'unknown';0.040000;-4.006309e+00;1.155510e+01;-5.470527e+00;-5.067502e+00;-1.228035e+00;9.117223e-01;1.007623e+01;-9.543578e+00;-6.818017e+00;-6.156610e+00;3.005480e-02;-5.339650e+00;1.145835e+02;5.244177e-01;4.279738e-02;2.361684e+00;2.557893e+00;-1.011168e+00;-4.046502e-02;-1.042652e+00;-5.304728e-01;-2.100603e+00;1.974158e+00;3.211208e+00;1.981991e-01;1.319717e-01;1.428023e-01;-3.180719e-01;-6.186585e-02;4.806492e-01;2.929919e-01;4.175385e-01;-7.651385e-02;1.042627e+00;1.003783e+00;-9.020659e-01;-6.340659e-01;-8.912168e-01;9.243079e-02
'unknown';0.050000;-4.383291e+00;1.109828e+01;-2.876565e+00;2.618409e-01;-2.191573e+00;-1.818668e+00;1.372445e+00;-1.977848e+01;-1.719652e+01;9.285630e+00;9.210533e+00;-8.266903e+00;1.150215e+02;7.834955e-01;-7.906429e-01;4.482346e-01;3.625181e+00;2.178003e+00;2.676197e+00;5.540227e-01;2.549149e+00;4.207436e-01;1.119699e+00;9.980128e-01;-3.001460e+00;1.497650e-01;1.217084e-02;-3.724458e-01;-7.758230e-01;-6.441756e-01;5.043229e-01;5.492676e-01;1.527061e-01;9.988098e-01;2.049949e+00;-1.995786e+00;-2.156762e+00;-9.609514e-01;4.118805e-02
'unknown';0.060000;-7.912499e-01;1.305709e+01;-3.436038e+00;-3.278434e+00;-2.078861e+00;-1.006717e+00;3.473999e+00;-1.031848e+01;-1.148715e+01;-1.681176e+01;-3.252180e+00;-9.642819e+00;1.153026e+02;2.312038e-01;-9.034224e-02;-3.481702e-01;2.023984e+00;9.492531e-01;1.502600e+00;-2.945092e-01;7.365211e-01;2.134863e+00;-3.367689e+00;-1.251926e+00;-3.541630e+00;2.210403e-01;-2.423802e-01;-1.135551e-01;-7.499736e-01;-9.247893e-01;4.964426e-01;1.040341e-01;-1.661633e-01;-4.127943e-01;9.288742e-01;-4.460272e-01;-1.673482e+00;6.804377e-02;1.541364e-03
'unknown';0.070000;-3.962670e+00;9.916086e+00;-3.711237e+00;9.216750e+00;5.187613e+00;5.992270e+00;6.633569e+00;-4.160796e+00;-4.431456e+00;-6.140423e+00;-1.836075e-01;-1.947115e+01;1.150638e+02;-1.792267e-01;-1.383241e+00;-1.177671e+00;-1.804857e-01;2.085129e-01;1.397064e+00;3.278739e-02;1.185735e+00;3.974866e+00;-3.567581e+00;-3.897088e+00;-2.171748e+00;5.167770e-02;-1.958203e-01;2.678539e-01;-1.000619e-01;-1.539472e+00;-1.368078e-01;-7.867606e-01;-7.665812e-01;-1.005186e+00;-2.739477e-01;5.326774e-01;-9.578488e-01;1.221575e+00;1.533356e-03
'unknown';0.080000;-3.060600e+00;1.169448e+01;-6.794041e+00;5.749630e-01;-1.713624e-01;4.519252e+00;5.973118e+00;-1.366981e+01;-2.526234e+00;-1.528203e+01;-1.532506e+00;-1.744568e+01;1.156675e+02;-2.061225e-01;-2.286787e-01;-5.752308e-01;-1.632209e-01;2.455790e+00;1.119272e+00;-1.612850e+00;-1.912737e+00;7.667071e-01;2.087662e+00;-2.708651e+00;1.235620e-01;1.887222e-01;-6.341334e-02;3.823302e-01;3.638543e-01;-6.679689e-01;3.533727e-01;-4.238866e-01;-4.067450e-01;-1.268412e-01;-9.385837e-01;1.584033e+00;4.168522e-01;1.030494e+00;-2.718033e-02
'unknown';0.090000;-4.144749e+00;4.863373e+00;-7.085917e+00;-2.567286e+00;-2.102757e+00;2.403666e+00;2.868228e-01;-1.217414e+01;-1.802654e+00;-9.317141e+00;-1.113474e+01;-1.522421e+01;1.150974e+02;2.305733e-02;6.177951e-01;6.145544e-02;-2.978575e+00;7.406951e-01;-1.065943e+00;-2.619712e+00;-1.152154e+00;-2.649165e-01;1.055411e+00;-3.062869e+00;1.273822e+00;1.735909e-01;-2.713880e-02;4.591261e-01;3.437100e-01;2.363525e-01;5.107764e-01;-3.387082e-01;2.692585e-01;5.553759e-01;-7.025470e-01;7.008339e-01;1.755841e+00;9.152853e-01;-3.028244e-02
