name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-5.942987e+00;6.402855e+00;-7.098001e+00;-4.568878e+00;6.549244e+00;-7.576953e-01;4.163888e+00;1.333659e-01;-7.390000e+00;-7.044785e+00;-7.960925e+00;-2.757342e+00;1.151657e+02;-3.302833e-01;5.096159e-01;1.647581e+00;2.610443e+00;1.346839e+00;1.390226e-02;-1.656131e-01;8.015839e-02;2.094141e+00;-7.007875e-02;3.729263e-01;4.520331e-01;1.158127e-01;3.825085e-01;1.614039e-02;-6.161444e-01;-7.067275e-01;-5.949363e-01;4.360266e-02;2.925833e-01;-5.884571e-01;-9.774211e-01;4.906138e-01;8.240396e-01;-4.132671e-01;5.163773e-02
'unknown';0.010000;-5.659779e+00;1.013468e+01;-1.679459e+00;3.268043e+00;8.919160e+00;-1.238289e+00;2.210056e+00;4.391558e-01;-2.596373e+00;-8.500029e+00;-2.228981e+00;-7.645653e-01;1.157239e+02;2.314842e-01;1.140881e-02;-1.874132e-01;9.289483e-01;-3.043596e-01;-6.968895e-01;8.761356e-01;-1.689207e+00;7.659202e-01;1.187673e+00;2.618309e+00;3.218371e-01;1.513504e-01;5.253298e-01;6.516562e-02;-8.973554e-01;-1.226154e+00;-1.124478e+00;2.545245e-01;-2.451383e-01;-5.696953e-01;-1.533006e+00;3.175612e-01;9.116188e-01;-2.364697e-01;1.573082e-02
'unknown';0.020000;-7.736008e+00;7.085022e+00;-1.569368e+00;4.564878e+00;1.209848e+01;-4.478872e-01;4.312738e+00;3.812629e-01;6.838931e-01;-6.667558e+00;-8.962265e+00;-1.493564e+00;1.154657e+02;1.301376e+00;8.394214e-01;-5.156443e-01;-8.244710e-02;-8.022435e-01;5.873114e-01;7.764288e-01;-1.977444e+00;-2.128854e+00;1.754114e+00;3.370433e+00;-1.549205e+00;3.562325e-01;3.936221e-01;7.785735e-02;-9.583365e-01;-1.283798e+00;-1.237196e+00;4.141211e-01;-2.635572e-01;-1.744307e-02;-1.249729e+00;-8.687984e-02;4.872536e-01;-3.801667e-01;-3.566452e-02
'unknown';0.030000;-3.889056e+00;6.118815e+00;-1.079938e+01;-4.491014e+00;2.252829e+00;-4.397047e+00;8.470140e+00;-8.436617e+00;-7.597345e+00;-1.295036e+00;5.631289e+00;-1.780045e+00;1.157725e+02;1.480536e+00;6.705413e-01;-1.757583e+00;-2.173882e+00;-3.201010e+00;9.998202e-01;-1.862325e+00;-1.739517e+00;-3.459390e+00;6.056307e-01;3.432267e+00;2.703035e-01;7.425690e-02;-1.682837e-02;9.108625e-02;-2.516911e-01;-5.576204e-01;-3.873679e-01;4.498911e-01;-4.801709e-01;6.615441e-01;1.146573e-01;-4.877685e-01;-3.441443e-01;2.051824e-01;-1.141795e-01
'unknown';0.040000;-3.214709e-01;1.260789e+01;-5.116260e+00;-1.101585e+00;5.871192e+00;3.758241e+00;4.915989e+00;-5.315969e+00;-1.553378e+01;-1.876710e+00;4.961108e+00;-9.995625e+00;1.169226e+02;1.013301e+00;5.693364e-01;-2.359017e+00;-2.257132e+00;-3.390816e+00;1.236153e+00;-1.141685e-01;1.809795e-02;-2.041850e+00;-2.134570e-01;2.402215e+00;-1.423033e+00;-2.396316e-02;-3.741260e-01;-1.244287e-01;9.513722e-02;-3.103678e-02;9.736322e-02;-1.113251e-01;3.187444e-02;3.693643e-01;1.449743e+00;-5.352244e-01;-6.285897e-01;1.020594e+00;-2.185924e-01
'unknown';0.050000;-1.964366e+00;1.072595e+01;-8.693931e+00;-4.768137e+00;-3.972245e+00;1.657749e+00;-7.403197e+00;-5.409811e+00;-1.178449e+01;-7.867299e+00;7.970666e+00;4.837982e+00;1.153667e+02;2.913795e-01;6.018826e-01;-5.241823e-01;-7.718114e-01;-9.469128e-01;1.228145e+00;-1.079420e+00;6.207424e-01;1.295705e+00;-2.673842e-01;1.381697e+00;1.284663e+00;-2.294495e-01;-1.904320e-01;7.564868e-02;6.576256e-01;1.001035e+00;1.002089e+00;1.418747e-02;8.241662e-01;3.307759e-02;1.724216e+00;-5.905556e-01;-1.245022e+00;8.950316e-01;-1.130417e-01
'unknown';0.060000;-3.631847e+00;7.628137e+00;-1.441718e+01;-6.582222e+00;-1.743064e+00;2.705478e+00;1.167856e+01;-1.041650e+00;-7.431787e+00;-4.448711e+00;1.879121e+00;-1.191775e+01;1.155487e+02;2.532366e-02;2.516071e-01;-6.566586e-01;-9.386665e-01;-1.442476e+00;-8.347641e-02;5.443485e-01;-1.310753e+00;2.742315e+00;-4.855003e-01;1.252770e+00;3.046585e+00;-5.848762e-01;9.755155e-02;2.268145e-01;7.786441e-01;1.282027e+00;9.770850e-01;-1.548513e-01;-3.048118e-01;-7.833773e-01;8.434963e-01;-5.718687e-01;-8.722435e-01;1.116826e+00;-1.388672e-02
'unknown';0.070000;-7.769700e-01;1.161811e+01;-8.769835e+00;-5.609752e+00;1.325394e+00;2.270061e+00;-3.082488e-01;-7.470065e+00;-5.169819e+00;-1.345956e+00;1.408077e+01;5.604333e+00;1.153122e+02;1.022365e+00;1.207649e+00;6.793656e-01;2.172060e+00;8.352665e-01;1.730572e+00;1.929247e+00;-9.097034e-01;2.769605e+00;-2.211126e+00;-2.218119e+00;2.510652e+00;-2.104950e-01;1.588092e-01;2.062555e-01;5.355895e-01;9.470547e-01;4.055364e-01;-3.208985e-01;-3.832523e-01;-6.299168e-01;-3.394653e-01;-3.625079e-01;-5.075475e-01;-4.079237e-01;1.360658e-01
'unknown';0.080000;-7.885505e-01;1.341985e+01;-8.361601e+00;-5.374110e+00;-3.990007e+00;3.034703e+00;4.090258e+00;-1.083961e+01;-5.129542e+00;-7.564883e+00;8.169906e+00;4.854122e+00;1.140255e+02;1.135566e+00;1.400526e+00;9.324297e-01;2.681067e+00;6.035194e-01;2.106825e-01;-3.142561e+00;-3.133565e+00;1.438681e+00;-2.100930e+00;-1.590944e-01;3.548101e+00;-1.028740e-01;-9.731531e-02;2.013710e-02;5.678765e-01;1.969002e-01;4.066878e-01;-7.793843e-01;-8.764332e-01;2.170772e-01;-8.958265e-01;1.118901e-01;-3.187580e-01;-1.628958e+00;1.940608e-01
'unknown';0.090000;1.725809e+00;1.386834e+01;-8.324891e+00;5.488103e+00;1.327559e+00;1.014600e+01;6.037193e+00;-5.059351e+00;9.124177e-01;-1.736484e+01;-6.265322e+00;9.005310e+00;1.150759e+02;5.303041e-01;1.058701e+00;1.359221e+00;2.153595e+00;5.777154e-02;-5.234269e-01;-1.152227e+00;-1.617435e+00;2.501947e-01;-1.272209e+00;-4.501087e-01;-1.005713e+00;2.098785e-01;-6.423185e-01;-4.791229e-01;2.516795e-01;-1.106325e+00;-2.290105e-01;-1.000112e+00;-1.777696e-01;7.184490e-01;-1.253378e+00;6.740252e-01;2.285721e-01;-1.885427e+00;1.362587e-02
