,peak width,peak height,z-normalized peak width,z-normalized peak height
0,13.0,0.0039999999999999584,-0.6611252505630851,-0.2043578705528006
1,13.0,0.0039999999999999584,-0.6611252505630851,-0.2043578705528006
2,13.0,0.0039999999999999584,-0.6611252505630851,-0.2043578705528006
3,13.0,0.0039999999999999584,-0.6611252505630851,-0.2043578705528006
4,13.0,0.0039999999999999584,-0.6611252505630851,-0.2043578705528006
5,10.0,0.003999999999999993,-1.157135495339156,-0.20435787055279608
6,10.0,0.003999999999999993,-1.157135495339156,-0.20435787055279608
7,10.0,0.003999999999999993,-1.157135495339156,-0.20435787055279608
8,10.0,0.003999999999999993,-1.157135495339156,-0.20435787055279608
9,11.0,0.001999999999999995,-0.9917987470804657,-0.4650547646349775
10,11.0,0.001999999999999995,-0.9917987470804657,-0.4650547646349775
11,11.0,0.001999999999999995,-0.9917987470804657,-0.4650547646349775
12,11.0,0.001999999999999995,-0.9917987470804657,-0.4650547646349775
13,21.0,0.00999999999999998,0.6615687355064368,0.5777328116937471
14,24.0,0.010999999999999973,1.1575789802825074,0.7080812587348372
15,24.0,0.010999999999999973,1.1575789802825074,0.7080812587348372
16,24.0,0.010999999999999973,1.1575789802825074,0.7080812587348372
17,24.0,0.010999999999999973,1.1575789802825074,0.7080812587348372
18,24.0,0.010999999999999973,1.1575789802825074,0.7080812587348372
19,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
20,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
21,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
22,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
23,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
24,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
25,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
26,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
27,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
28,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
29,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
30,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
31,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
32,22.0,0.000999999999999987,0.826905483765127,-0.5954032116760694
33,10.0,0.0009999999999999593,-1.157135495339156,-0.595403211676073
34,10.0,0.0009999999999999593,-1.157135495339156,-0.595403211676073
35,10.0,0.0009999999999999593,-1.157135495339156,-0.595403211676073
36,10.0,0.0009999999999999593,-1.157135495339156,-0.595403211676073
37,15.0,0.0009999999999999593,-0.3304517540457047,-0.595403211676073
38,15.0,0.0009999999999999593,-0.3304517540457047,-0.595403211676073
39,15.0,0.0009999999999999593,-0.3304517540457047,-0.595403211676073
40,14.0,0.0030000000000000304,-0.4957885023043949,-0.3347063175938821
41,14.0,0.0030000000000000304,-0.4957885023043949,-0.3347063175938821
42,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
43,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
44,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
45,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
46,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
47,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
48,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
49,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
50,15.0,2.7755575615628914e-17,-0.3304517540457047,-0.7257516587171549
51,8.0,2.7755575615628914e-17,-1.4878089918565365,-0.7257516587171549
52,8.0,2.7755575615628914e-17,-1.4878089918565365,-0.7257516587171549
53,7.0,6.938893903907228e-17,-1.6531457401152265,-0.7257516587171495
54,7.0,6.938893903907228e-17,-1.6531457401152265,-0.7257516587171495
55,7.0,6.938893903907228e-17,-1.6531457401152265,-0.7257516587171495
56,5.0,6.938893903907228e-17,-1.983819236632607,-0.7257516587171495
57,5.0,6.938893903907228e-17,-1.983819236632607,-0.7257516587171495
58,4.0,0.0010000000000000564,-2.1491559848912973,-0.5954032116760604
59,12.0,1.5265566588595902e-16,-0.8264619988217754,-0.7257516587171386
60,12.0,0.0010000000000001535,-0.8264619988217754,-0.5954032116760477
61,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
62,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
63,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
64,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
65,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
66,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
67,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
68,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
69,13.0,1.3877787807814457e-17,-0.6611252505630851,-0.7257516587171567
70,9.0,1.3877787807814457e-17,-1.3224722435978462,-0.7257516587171567
71,10.0,8.326672684688674e-17,-1.157135495339156,-0.7257516587171476
72,10.0,8.326672684688674e-17,-1.157135495339156,-0.7257516587171476
73,10.0,1.3877787807814457e-17,-1.157135495339156,-0.7257516587171567
74,10.0,1.3877787807814457e-17,-1.157135495339156,-0.7257516587171567
75,10.0,1.3877787807814457e-17,-1.157135495339156,-0.7257516587171567
76,10.0,1.3877787807814457e-17,-1.157135495339156,-0.7257516587171567
77,10.0,1.3877787807814457e-17,-1.157135495339156,-0.7257516587171567
